Participant,Speeds-Count,Speed1,Block,Distance,Direction,LToR-or-RToL,Execution-time,Speed2,Average,Reg,OverAllAverage,Relative-Speed,Average1,Average2,average11,Speed1,Speed2
2,2,1,1,Short,Diagonal,R,1.022,0.006660419,0.000818069,0.00584235,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,9.09E-05
2,2,1,1,Short,Diagonal,L,0.025,1.52E-04,0.000818069,-0.000666069,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,8.33E-05
2,2,1,1,Medium,Horizontal,R,0.053,1.46E-04,0.000818069,-0.000672069,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,1.70E-04
2,2,1,1,Medium,Horizontal,L,0.025,6.99E-05,0.000818069,-0.000748169,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,1.88E-04
2,2,1,1,Medium,Vertical,R,0.027,7.45E-05,0.000818069,-0.000743569,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,0.04336751
2,2,1,1,Medium,Vertical,L,0.032,8.73E-05,0.000818069,-0.000730769,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,4.07E-05
2,2,1,1,Medium,Diagonal,R,0.024,5.11E-05,0.000818069,-0.000766969,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,6.17E-05
2,2,1,1,Medium,Diagonal,L,0.044,1.02E-04,0.000818069,-0.000716069,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,1.35E-04
2,2,1,1,Long,Horizontal,R,0.027,4.73E-05,0.000818069,-0.000770769,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,1.81E-05
2,2,1,1,Long,Horizontal,L,0.054,9.57E-05,0.000818069,-0.000722369,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,3.88E-05
2,2,1,1,Long,Vertical,R,0.061,1.09E-04,0.000818069,-0.000709069,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,0.002773725
2,2,1,1,Long,Vertical,L,0.047,8.29E-05,0.000818069,-0.000735169,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,7.01E-05
2,2,1,1,Long,Diagonal,R,0.049,7.80E-05,0.000818069,-0.000740069,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,6.25E-05
2,2,1,1,Long,Diagonal,L,0.052,8.64E-05,0.000818069,-0.000731669,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,1.22E-04
